PM001, PP001, DG001, NV001, 1000
PM002, PP002, DG002, NV002, 1500
PM003, PP003, DG003, NV003, 2000
PM004, PP004, DG004, NV004, 2000
PM005, PP005, DG005, NV005, 2000
PM006, PP006, DG004, NV004, 2000
PM007, PP007, DG004, NV004, 2000
PM008, PP008, DG004, NV004, 2000
PM009, PP009, DG004, NV004, 2000
PM0010, PP0010, DG004, NV004, 2000
PM0011, PP0011, DG004, NV004, 2000
PM0012, PP0012, DG004, NV004, 2000
PM0013, PP0013, DG004, NV004, 2000
PM0014, PP0014, DG004, NV004, 2000
PM00165, PP00165, DG004, NV004, 2000
PM0099, PP0099, DG004, NV004, 2000
PM0017, PP007, DG004, NV004, 2000
PM0027, PP007, DG004, NV004, 2000
PM0037, PP007, DG004, NV004, 2000
